nombre_depto,nro_mesa,nro_partido,gob,dip,int,cnj,electores,tipo_mesa,sigma
CHACABUCO,1025,653,114,116,125,0,300,Tradicional,51.4070763611
12 DE OCTUBRE,29,652,173,171,87,84,300,Tradicional,43.268782049
12 DE OCTUBRE,30,652,164,164,66,64,300,Tradicional,49.5050502474
12 DE OCTUBRE,32,652,172,173,87,84,300,Tradicional,43.5143654441
12 DE OCTUBRE,1025,652,199,196,115,109,300,Tradicional,42.8157389286
12 DE OCTUBRE,1026,652,190,190,104,102,300,Tradicional,43.5057467468
12 DE OCTUBRE,1027,652,196,192,106,101,300,Tradicional,45.3065944428
12 DE OCTUBRE,1028,652,186,186,94,91,300,Tradicional,46.7620305376
12 DE OCTUBRE,1029,652,189,187,92,93,300,Tradicional,47.7565440542
12 DE OCTUBRE,1030,652,187,184,96,95,299,Tradicional,45.0138867462
GENERAL GUEMES,11,652,176,177,87,87,304,Tradicional,44.7513966263
GENERAL GUEMES,11,653,60,60,152,153,304,Tradicional,46.2513513316
GENERAL GUEMES,12,652,179,177,87,87,300,Tradicional,45.5054941738
GENERAL GUEMES,12,653,56,56,150,150,300,Tradicional,47
GENERAL GUEMES,87,652,200,198,101,100,300,Tradicional,49.256344769
GENERAL GUEMES,88,652,183,183,93,89,300,Tradicional,46.021733996
GENERAL GUEMES,89,652,215,213,111,111,300,Tradicional,51.5048541402
GENERAL GUEMES,90,652,197,197,93,94,300,Tradicional,51.7512077154
GENERAL GUEMES,91,652,202,200,97,96,301,Tradicional,52.255980519
GENERAL GUEMES,92,652,203,201,102,103,301,Tradicional,49.7562810105
GENERAL GUEMES,93,652,196,192,88,87,300,Tradicional,53.2699493148
GENERAL GUEMES,94,652,203,201,103,103,300,Tradicional,49.5050502474
GENERAL GUEMES,95,652,209,207,104,103,300,Tradicional,52.255980519
GENERAL GUEMES,96,652,204,204,101,102,300,Tradicional,51.2512194977
GENERAL GUEMES,98,652,211,208,109,109,300,Tradicional,50.2611927833
GENERAL GUEMES,99,652,215,214,108,107,300,Tradicional,53.5023363976
GENERAL GUEMES,100,652,217,217,118,118,300,Tradicional,49.5
GENERAL GUEMES,101,652,209,209,116,116,300,Tradicional,46.5
GENERAL GUEMES,102,652,216,216,137,135,300,Tradicional,40.0062495118
GENERAL GUEMES,1009,652,186,185,102,102,300,Tradicional,41.7514969792
GENERAL GUEMES,1009,653,68,68,152,152,300,Tradicional,42
GENERAL GUEMES,1082,652,214,108,110,109,302,Tradicional,45.4718319402
GENERAL GUEMES,1083,652,199,194,97,96,300,Tradicional,50.0324894444
GENERAL GUEMES,1084,652,197,189,97,95,301,Tradicional,48.5875498456
GENERAL GUEMES,1085,652,203,202,113,112,302,Tradicional,45.002777692
GENERAL GUEMES,1087,652,197,193,78,79,300,Tradicional,58.2682374884
GENERAL GUEMES,1088,652,209,208,109,108,300,Tradicional,50.0024999375
GENERAL GUEMES,1089,652,218,211,122,121,330,Tradicional,46.5671558075
GENERAL GUEMES,1090,652,217,216,111,112,330,Tradicional,52.5023808984
GENERAL GUEMES,1091,652,218,218,131,129,300,Tradicional,44.0056814514
GENERAL GUEMES,1092,652,212,212,96,96,300,Tradicional,58
GENERAL GUEMES,1093,652,218,217,113,110,300,Tradicional,53.0117911412
